name,kal
순대국,540.3
아구탕,246.07
어묵국,250.86
어탕,85.5
연두부 무순 냉국,70.52
연포탕,541.64
오리탕,482.33
오징어국,33.44
오징어물회(동해),581.4
올갱이국(괴산),144.26
우거지국,20.24
우거지해장국,154.38
우렁된장국,244.93
육개장 닭고기,43.79
육탕,87
전복탕,196.85
조기매운탕,384.38
짱뚱어탕(순천),188.77
추어탕(남원),316.72
탕국,92.5
토란국,462.5
해물탕,267.81
황태해장국,181.7
감자탕,959.54
광어매운탕,419.8
김치찌개,243.03
내장탕,546.64
닭볶음탕,367.92
대구매운탕,361.75
동태찌개,368.18
된장찌개,144.88
두부전골(찌개),315.16
버섯찌개,167.56
부대찌개,520.05
부대찌개(의정부),399.5
소고기샤브샤브,263.75
순두부찌개,200.08
알탕,425.56
우럭매운탕,406.82
장어탕,152.01
전골 곱창전골,88.15
청국장찌개,271.57
추어탕,341.13
콩비지찌개,247.61
해산물 샤브샤브,124.44
금태찜,73.8
단호박 두부찜,37.98
단호박 새우 찜,202.4
달걀찜,200.55
닭갈비,595.61
닭고기 편육,260.33
대구찜,376.42
대하찜,109.3
도미찜,126
동태찜,394.33
돼지고기 수육,1205.9
등갈비찜(돼지),961.04
매운갈비찜(대구중구),517.44
문어숙회,67.2
민어찜,137
병어찜,180
북어찜,156.8
붕어찜(경기광주),835.59
사태떡찜,201.74
생선살 완자 찹쌀 찜,212.47
생선찜 채소말이,162.54
서양식 달걀찜(시금치 퀴시),305.61
소갈비찜,494.6
쇠고기 감자찜,183.57
순대,547.59
아구찜,310.87
아귀찜(마산),492.32
안동찜닭(안동),1364.2
영양 달걀 찜,76.01
오징어보쌈과 저나트륨 된장소스,45.89
오징어순대(속초),466.86
전어찜,278
조기찜,182
족발,393.77
참꼬막,90.4
백숙,469.53
해물찜,400.08
홍어찜,202.67
가자미구이,157.17
갈치구이,481.32
고등어구이,667.87
굴비구이,192.65
꽁치 양념구이,234.27
꿩불고기(충주),368.8
닭고기 바비큐,183.74
닭꼬치,176.72
도미구이,158.96
돼지갈비구이,941.38
돼지주물럭(돼지갈비)(서울마포),240.32
등심 배구이,96.35
로스트비프,219.77
미니 떡갈비,144.93
밀라노 스타일 포크 커틀렛,227.69
버섯소스를 곁들인 돼지 등심 스테이크,387.49
병어구이,195.24
불고기,395.29
불고기 오리,225.98
붕장어구이(소금)(고흥),296.54
비프 스트로가노프,246.51
살사를 곁들인 참치 오븐구이,96.5
소곱창구이,639.57
소불고기,176.71
소양념갈비구이,989.15
양념장어구이,433.35
양송이버섯과 포도주스를 가미한 등심구이,204.58
왕갈비(양념)(수원),480.81
요거트 파슬리소스를 곁들인 닭고기구이,238.97
임연수구이,197.55
조기구이 양념 조기조림,128.07
종이에 싸서 구운 도미,103.29
중국식 바비큐 폭 립,310.67
지중해소스를 곁들인 도미스테이크,289.68
짚불구이곰장어(기장),326.21
참깨 오렌지 쇠고기,182.68
치킨 버거 스테이크,127.97
카레소스를 얹은 두부 스테이크,199.32
케이준 스타일 닭고기 요리,312.42
해산물 옥수수 오븐구이 프리타타,111.71
햄버그스테이크,457.7
황태구이,437.57
훈제오리,797.14
가자미전,231
감자전,187.67
계적,487.5
고추전,274.69
